Molecule,Manufacturer,Product,MIDAS Corporation,Corporation,ATC4,ATC3,ATC2,ATC1,Total Market,Market,Molecule Combination Type,Launch Year,Strength,Pack,Launch Date,Retail Price,NFC1,NFC2,NFC3,2022 LC Value,2022 Units,2023 LC Value,2023 Units,2024 LC Value,2024 Units,2025 LC Value,2025 Units,2026 LC Value,2026 Units
DL-LACTIC ACID,MIDDLE EAST FACT.,UREA CREAM AV,MECP,MIDDLE EAST FACT.,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2006.0,0000,CREAM 1 100 ML,200603,40.0,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,,,3640.0,91.0,,,,
DL-LACTIC ACID,NAPP LABS,BETADINE,MUNDIPHARMA INT,MUNDIPHARMA*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2018.0,0000,IN/W F&A L/V 1 50 ML,201807,20.0,T VAGINAL,TG VAGINAL LIQUIDS,TGW VAGINAL LIQUID SOAPS/WASHES,106380.0,5319.0,223040.0,11152.0,131740.0,6587.0,120500.0,6025.0,59660.0,2983.0
DL-LACTIC ACID,NAPP LABS,BETADINE,MUNDIPHARMA INT,MUNDIPHARMA*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2018.0,0000,IN/W M.CALEN 1 50 ML,201807,20.0,T VAGINAL,TG VAGINAL LIQUIDS,TGW VAGINAL LIQUID SOAPS/WASHES,102000.0,5100.0,210760.0,10538.0,137040.0,6852.0,238460.0,11923.0,39340.0,1967.0
DL-LACTIC ACID,NAPP LABS,BETADINE,MUNDIPHARMA INT,MUNDIPHARMA*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2018.0,0000,IN/W O/C WH 1 50 ML,201807,20.0,T VAGINAL,TG VAGINAL LIQUIDS,TGW VAGINAL LIQUID SOAPS/WASHES,78440.0,3922.0,188120.0,9406.0,143480.0,7174.0,217620.0,10881.0,53740.0,2687.0
DL-LACTIC ACID,NOREVA LAB,NOREVA TRIO D,NOREVA LABORATOIRE,NOREVA LAB*,D11A0 OTHER DERMATOLOGICAL PREP,D11A OTHER DERMATOLOGICAL PREP,D11 OTHER DERMATOLOGICAL PREP,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2019.0,0000,DG & UN TT 1 30 ML,201901,144.5,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,5925.0,41.0,,,,,,
DL-LACTIC ACID,OCTOBER PHARMA,COLLOMAK,OCTOBER,OCTOBER PHARMA,D11A0 OTHER DERMATOLOGICAL PREP,D11A OTHER DERMATOLOGICAL PREP,D11 OTHER DERMATOLOGICAL PREP,D0 DERMATOLOGICALS,TOTAL MARKET,LPO,COMBI,2014.0,0000,SOLUT. 1 10 ML,201401,18.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGA TOP EXT LIQUIDS,26262.0,1459.0,36720.0,2040.0,15840.0,880.0,54594.0,3033.0,40140.0,2230.0
DL-LACTIC ACID,OCTOBER PHARMA,COLLOMAK,OCTOBER,OCTOBER PHARMA,D11A0 OTHER DERMATOLOGICAL PREP,D11A OTHER DERMATOLOGICAL PREP,D11 OTHER DERMATOLOGICAL PREP,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2014.0,0000,SOLUT. 1 10 ML,201401,18.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGA TOP EXT LIQUIDS,1655064.0,91948.0,1629306.0,90517.0,1589940.0,88330.0,1684674.0,93593.0,411354.0,22853.0
DL-LACTIC ACID,PALCARE ENT.,CANAGYN,PALCARE ENT.,PALCARE ENT.*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,LPO,COMBI,2023.0,0000,VAG. OVULES 14,202303,142.0,T VAGINAL,TL VAGINAL SUPPOSITORIES,TLS VAGINAL SUPPOSITORIES,,,,,,,29820.0,210.0,,
DL-LACTIC ACID,PALCARE ENT.,CANAGYN,PALCARE ENT.,PALCARE ENT.*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2023.0,0000,VAG. OVULES 14,202303,142.0,T VAGINAL,TL VAGINAL SUPPOSITORIES,TLS VAGINAL SUPPOSITORIES,,,82540.0,582.0,241684.0,1702.0,77390.0,545.0,24708.0,174.0
DL-LACTIC ACID,PALCARE ENT.,GYNAGYN BV,PALCARE ENT.,PALCARE ENT.*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,LPO,COMBI,2023.0,0000,VAGINAL GEL 7 4 ML,202303,114.0,T VAGINAL,TV VAGINAL GELS/SOLS,TVN VAGINAL UNIT DOSE GELS,,,,,,,23142.0,203.0,,
DL-LACTIC ACID,PALCARE ENT.,GYNAGYN BV,PALCARE ENT.,PALCARE ENT.*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2023.0,0000,VAGINAL GEL 7 4 ML,202303,114.0,T VAGINAL,TV VAGINAL GELS/SOLS,TVN VAGINAL UNIT DOSE GELS,,,171162.0,1505.0,749322.0,6573.0,580944.0,5096.0,134406.0,1179.0
DL-LACTIC ACID,PFIZER,CITROCARBONATE,PFIZER,PFIZER*,A02A1 PLAIN ANTACIDS,A02A ANTACIDS ANTIFLATULENTS,A02 A-ACID A-FLAT A-ULCERANTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,0.0,0000,GRAN 1 4 OZ,UNKNOWN,13.5,A ORAL SOLID ORDINARY,AE ORAL S ORD PWDRS/GRNLS,AEB ORAL S ORD GRANULES N O S,,,,,,,3186.0,236.0,1188.0,88.0
DL-LACTIC ACID,PHARM.SOLUTION IND,RINGER LACTATE,PHARM.SOLUTION IND,PHARM.SOLUTION IND,K01A7 RINGER +R/LACTATE SOLNS,K01A ELECTROLYTE SOLN >100ML,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,LPO,COMBI,2000.0,0000,VIAL INFUS. 1 500 ML,200011,5.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,625.0,125.0,19725.0,3945.0,31000.0,6200.0,62765.0,12553.0,14000.0,2800.0
DL-LACTIC ACID,PHARM.SOLUTION IND,RINGER LACTATE,PHARM.SOLUTION IND,PHARM.SOLUTION IND,K01A7 RINGER +R/LACTATE SOLNS,K01A ELECTROLYTE SOLN >100ML,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,PRIVATE MARKET,COMBI,2000.0,0000,VIAL INFUS. 1 500 ML,200011,5.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,683345.0,136669.0,589600.0,117920.0,741145.0,148229.0,875140.0,175028.0,175230.0,35046.0
DL-LACTIC ACID,PHARMALINE,GINESTRA,PHARMALINE IND,PHARMALINE,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2021.0,0000,VAG. TABS 14,202104,220.0,T VAGINAL,TA VAGINAL TABLETS,TAA VAGINAL TABLETS,1490500.0,6775.0,1363340.0,6197.0,1230900.0,5595.0,190960.0,868.0,,
DL-LACTIC ACID,QATAR PHARMAC.,LACTATE RINGER QAT,QATAR PHARMAC.,QATAR PHARMAC.,K01A7 RINGER +R/LACTATE SOLNS,K01A ELECTROLYTE SOLN >100ML,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,PRIVATE MARKET,COMBI,2011.0,0000,INF.BOTTLE 1 500 ML,201103,4.5,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,,,,,396.0,88.0,135.0,30.0,,
DL-LACTIC ACID,S.I.I.T.S.R.ITALY,GINESTRA,SIIT,S.I.I.T.S.R.ITALY,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2026.0,0000,VAG. TABS 10,202602,220.0,T VAGINAL,TA VAGINAL TABLETS,TAA VAGINAL TABLETS,,,,,,,,,22440.0,102.0
DL-LACTIC ACID,SANDOZ,LINEX FORTE,SANDOZ,SANDOZ,A07F0 ANTIDIARR MICRO-ORGANISMS,A07F ANTIDIARR MICRO-ORGANISMS,A07 INTESTINAL DISORDER PROD,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2018.0,0000,HARD GEL.CAP 14,201801,80.0,A ORAL SOLID ORDINARY,AC ORAL S ORD CAPSULES,ACA ORAL S ORD CAPSULES,2078560.0,25982.0,2288800.0,28610.0,3995760.0,49947.0,2676800.0,33460.0,320.0,4.0
DL-LACTIC ACID,SANDOZ,LINEX FORTE,SANDOZ,SANDOZ,A07F0 ANTIDIARR MICRO-ORGANISMS,A07F ANTIDIARR MICRO-ORGANISMS,A07 INTESTINAL DISORDER PROD,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2018.0,0000,HARD GEL.CAP 7,201801,47.0,A ORAL SOLID ORDINARY,AC ORAL S ORD CAPSULES,ACA ORAL S ORD CAPSULES,,,,,,,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED,MAURER,SEBAPHARMA*,D01A3 TOP SCALP ANTIFUNGALS,D01A ANTIFUNGALS DERMATOLOGICL,D01 ANTIFUNGALS DERMATOLOGICL,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2012.0,0000,ANDF SHP 1 200 ML,201204,30.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGW TOP EXT LIQUID SOAPS/WASHES,,,4560.0,152.0,13110.0,437.0,7440.0,248.0,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,1999.0,0000,CLNS BAR ADLT 1 100 G,199904,9.0,M TOPIC DERMATOL HAEMOR EXTERN,MY TOP EXT OTHER SPEC FORMS,MYW TOP EXT SOLID SOAPS/BARS,,,,,10287.0,1143.0,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,BODY LOTION 1 200 ML,200104,11.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGS TOP EXT LOTIONS,352.0,32.0,,,1551.0,141.0,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,MONO,1999.0,0000,EVRDY SHP 1 200 ML,199902,18.5,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGW TOP EXT LIQUID SOAPS/WASHES,,,3756.0,203.0,4200.0,227.0,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED,MAURER,SEBAPHARMA*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2004.0,0000,INTMT WSH 1 200 ML,200403,24.0,T VAGINAL,TG VAGINAL LIQUIDS,TGW VAGINAL LIQUID SOAPS/WASHES,,,13272.0,553.0,10200.0,425.0,7200.0,300.0,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED BABY,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,1989.0,0000,CREAM BABY 1 200 ML,198910,18.5,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,2035.0,110.0,8327.0,450.0,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED BABY,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,1992.0,0000,SHAMPOO PAED 1 150 ML,199207,12.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGW TOP EXT LIQUID SOAPS/WASHES,,,,,3072.0,256.0,1620.0,135.0,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED BABY,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,CREAM 1 75 ML,200109,11.0,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,748.0,68.0,,,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED BABY,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,DIAPER RASH BABY 1 100 ML,200110,14.5,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,,,1175.0,81.0,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED BABY,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2002.0,0000,LOTION BABY 1 200 ML,200204,20.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGS TOP EXT LOTIONS,,,9980.0,499.0,3580.0,179.0,5280.0,264.0,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED BABY,MAURER,SEBAPHARMA*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2012.0,0000,DIAPER RASH BABY 1 200 ML,201204,45.0,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,,,,,,,,
DL-LACTIC ACID,SEBAPHARMA,SEBAMED BABY,MAURER,SEBAPHARMA*,D11A0 OTHER DERMATOLOGICAL PREP,D11A OTHER DERMATOLOGICAL PREP,D11 OTHER DERMATOLOGICAL PREP,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2012.0,0000,SHAMPOO 1 250 ML,201204,30.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGW TOP EXT LIQUID SOAPS/WASHES,,,2310.0,77.0,6990.0,233.0,,,,
DL-LACTIC ACID,TENTAN AG,GYNOFIT,TENTAN,TENTAN AG*,G01D0 GYNAECOLOGIC ANTISEPTICS,G01D GYNAECOLOGIC ANTISEPTICS,G01 GYNAE ANTI-INFECTIVES,G0 G.U.SYSTEM & SEX HORMONES,TOTAL MARKET,PRIVATE MARKET,COMBI,2012.0,0000,G.V.LAC.A.UD 6 5 ML,201209,70.0,T VAGINAL,TV VAGINAL GELS/SOLS,TVN VAGINAL UNIT DOSE GELS,763400.0,13880.0,972984.0,16513.0,786380.0,11234.0,936180.0,13374.0,216300.0,3090.0
DL-LACTIC ACID,URIAGE,URIAGE HYSEAC,PUIG,URIAGE*,D11A0 OTHER DERMATOLOGICAL PREP,D11A OTHER DERMATOLOGICAL PREP,D11 OTHER DERMATOLOGICAL PREP,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2014.0,0000,CLEANSIN BAR 1 100 G,201409,47.0,M TOPIC DERMATOL HAEMOR EXTERN,MY TOP EXT OTHER SPEC FORMS,MYW TOP EXT SOLID SOAPS/BARS,8883.0,189.0,7520.0,160.0,,,,,,
DL-LACTIC ACID,URIAGE,URIAGE HYSEAC 3-RE,PUIG,URIAGE*,D10A0 TOPICAL ANTI-ACNE PREPS,D10A TOPICAL ANTI-ACNE PREPS,D10 ANTI-ACNE PREPARATIONS,D0 DERMATOLOGICALS,TOTAL MARKET,LPO,COMBI,2016.0,0000,GLB TRTM 1 40 ML,201612,115.0,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,,,230.0,2.0,,,,
DL-LACTIC ACID,URIAGE,URIAGE HYSEAC 3-RE,PUIG,URIAGE*,D10A0 TOPICAL ANTI-ACNE PREPS,D10A TOPICAL ANTI-ACNE PREPS,D10 ANTI-ACNE PREPARATIONS,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2016.0,0000,GLB TRTM 1 40 ML,201612,115.0,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,271400.0,2360.0,353395.0,3073.0,764750.0,6650.0,753250.0,6550.0,94300.0,820.0
DOBUTAMINE,JAZEERA PHARM IND.,DOBUTAMINE,HIKMA PHARMA,HIKMA PLC,C01C2 CARDIAC DOPAMINERG AGENTS,C01C CARD STIM EX CARD GLYCOS,C01 CARDIAC THERAPY,C0 CARDIOVASCULAR SYSTEM,TOTAL MARKET,LPO,MONO,2025.0,0250MG,VIAL IV INF 250 MG 10 20 ML,202504,360.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,,,,,,,72000.0,200.0,36000.0,100.0
DOCETAXEL,EBEWE SANDOZ,DOCETAXEL,SANDOZ,SANDOZ,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,2014.0,0020MG,VIAL INFUS. 20 MG 1 2 ML,201409,902.5,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,135375.0,150.0,36100.0,40.0,140790.0,156.0,,,,
DOCETAXEL,EBEWE SANDOZ,DOCETAXEL,SANDOZ,SANDOZ,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,2014.0,0080MG,VIAL INFUS. 80 MG 1 8 ML,201408,2708.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,3206272.0,1184.0,3542064.0,1308.0,4281348.0,1581.0,1909140.0,705.0,774488.0,286.0
DOCETAXEL,EBEWE SANDOZ,DOCETAXEL,SANDOZ,SANDOZ,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,PRIVATE MARKET,MONO,2014.0,0080MG,VIAL INFUS. 80 MG 1 8 ML,201408,2708.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,1326920.0,490.0,4338216.0,1602.0,4622556.0,1707.0,4598184.0,1698.0,1316088.0,486.0
DOCETAXEL,FRESENIUS KABI,ADENEX SV,FRESENIUS,FRESENIUS KABI*,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,2022.0,0080MG,VIAL I.V 80 MG 1 4 ML,202202,240.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,62400.0,260.0,108000.0,450.0,96000.0,400.0,,,,
DOCETAXEL,SANOFI,TAXOTERE,SANOFI,SANOFI*,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,1999.0,0020MG,V.INFU + SOL 20 MG 1 .50 ML,199911,622.5,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQD PARENT ORD INF DRY VIAL/BOTTLE,,,,,,,,,,
DOCETAXEL,SANOFI,TAXOTERE,SANOFI,SANOFI*,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,PRIVATE MARKET,MONO,1999.0,0020MG,V.INFU + SOL 20 MG 1 .50 ML,199911,622.5,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQD PARENT ORD INF DRY VIAL/BOTTLE,,,,,,,,,,
DOCETAXEL,SANOFI,TAXOTERE,SANOFI,SANOFI*,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,PRIVATE MARKET,MONO,2015.0,0080MG,VIAL INFUS. 80 MG 1 4 ML,201502,2312.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,1225360.0,530.0,1257728.0,544.0,691288.0,299.0,113288.0,49.0,4624.0,2.0
DOCETAXEL,SUDAIR PHARMA COMP,DOCETAXEL,SUDAIR PHARMACEUTI,SUDAIR PHARMA COMP,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,2021.0,0080MG,V.CN SOL INF 80 MG 1 4 ML,202106,875.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,330750.0,378.0,115500.0,132.0,365750.0,418.0,1605625.0,1835.0,,
DOCETAXEL,SUDAIR PHARMA COMP,DOCETAXEL,SUDAIR PHARMACEUTI,SUDAIR PHARMA COMP,L01C2 TAXANE ANTINEOPLASTICS,L01C PLANT-BASED A-NEOPLASTIC,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,PRIVATE MARKET,MONO,2021.0,0080MG,V.CN SOL INF 80 MG 1 4 ML,202106,875.0,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQC PARENT ORD INF VIALS/BOTTLES,96250.0,110.0,133000.0,152.0,182000.0,208.0,183750.0,210.0,,
DOCONEXENT,21ST CENTURY,PRENATAL DHA,21ST CENTURY LABS,21ST CENTURY*,V03X0 ALL OTH.THERAPEUTIC PRDS,V03X ALL OTH.THERAPEUTIC PRDS,V03 OTHER THERAPEUTIC PRODS,V0 VARIOUS,TOTAL MARKET,PRIVATE MARKET,MONO,2014.0,0200MG,SOFTGEL 200 MG 30,201405,209.0,A ORAL SOLID ORDINARY,AC ORAL S ORD CAPSULES,ACA ORAL S ORD CAPSULES,5852.0,28.0,,,,,,,,
DOCONEXENT,21ST CENTURY,PRENATAL+DHA,21ST CENTURY LABS,21ST CENTURY*,A11A1 MVIT + MIN PRENATAL,A11A MULTIVITAMINS + MINERALS,A11 VITAMINS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,LPO,COMBI,2016.0,0000,TABS 30+30 60,201601,154.75,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAA ORAL S ORD TABLETS,,,,,12000.0,100.0,,,,
DOCONEXENT,21ST CENTURY,PRENATAL+DHA,21ST CENTURY LABS,21ST CENTURY*,A11A1 MVIT + MIN PRENATAL,A11A MULTIVITAMINS + MINERALS,A11 VITAMINS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2016.0,0000,TABS 30+30 60,201601,154.75,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAA ORAL S ORD TABLETS,86160.0,718.0,83880.0,699.0,85680.0,714.0,134537.0,919.0,18261.0,118.0
DOCONEXENT,ABBOTT INTERNATION,OMACOR,ABBOTT,ABBOTT,C10B0 ANTI-ATHEROMA NATRL ORIG,C10B ANTI-ATHEROMA NATRL ORIG,C10 LIPID-REG/A-ATHEROMA PRD,C0 CARDIOVASCULAR SYSTEM,TOTAL MARKET,LPO,COMBI,2006.0,0001G,SOFT CAPSULE 1 G 28,200607,142.5,A ORAL SOLID ORDINARY,AC ORAL S ORD CAPSULES,ACA ORAL S ORD CAPSULES,26731150.0,187587.0,38899937.0,272982.0,44418819.0,311711.0,29431382.0,206536.0,10885719.0,76391.0
