Molecule,Manufacturer,Product,MIDAS Corporation,Corporation,ATC4,ATC3,ATC2,ATC1,Total Market,Market,Molecule Combination Type,Launch Year,Strength,Pack,Launch Date,Retail Price,NFC1,NFC2,NFC3,2022 LC Value,2022 Units,2023 LC Value,2023 Units,2024 LC Value,2024 Units,2025 LC Value,2025 Units,2026 LC Value,2026 Units
OLANZAPINE,CINFA,OLANOLE,CINFA,CINFA,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,2021.0,0010MG,TABS 10 MG 28,202109,420.5,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAA ORAL S ORD TABLETS,,,1262.0,3.0,,,1338452.0,3183.0,,
OLANZAPINE,CINFA,OLANOLE,CINFA,CINFA,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2021.0,0005MG,TABS 5 MG 28,202109,264.0,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAA ORAL S ORD TABLETS,178992.0,678.0,223344.0,846.0,548592.0,2078.0,785136.0,2974.0,352440.0,1335.0
OLANZAPINE,CINFA,OLANOLE,CINFA,CINFA,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2021.0,0010MG,TABS 10 MG 28,202109,420.5,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAA ORAL S ORD TABLETS,187125.0,445.0,244734.0,582.0,628229.0,1494.0,785497.0,1868.0,170724.0,406.0
OLANZAPINE,ELI LILLY,ZYPREXA,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,2010.0,0005MG,FILM C.TABS 5 MG 30,201001,192.5,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,1208039.0,4102.0,2075342.0,7047.0,3058974.0,10387.0,1536628.0,5597.0,3465.0,18.0
OLANZAPINE,ELI LILLY,ZYPREXA,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,2013.0,0010MG,FILM C.TABS 10 MG 30,201312,330.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,4319302.0,8788.0,4200359.0,8546.0,4886986.0,9943.0,4336093.0,9687.0,623040.0,1888.0
OLANZAPINE,ELI LILLY,ZYPREXA,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2010.0,0005MG,FILM C.TABS 5 MG 30,201001,192.5,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,1626233.0,5522.0,1567626.0,5323.0,1463668.0,4970.0,1199490.0,4207.0,,
OLANZAPINE,ELI LILLY,ZYPREXA,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2013.0,0010MG,FILM C.TABS 10 MG 30,201312,330.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,2316443.0,4713.0,2189635.0,4455.0,2340035.0,4761.0,1452991.0,3157.0,231330.0,701.0
OLANZAPINE,ELI LILLY,ZYPREXA VELOTAB,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,1998.0,0005MG,TABS DISPERS 5 MG 28,199810,423.5,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,3664550.0,8653.0,2419458.0,5713.0,2648148.0,6253.0,3182604.0,7515.0,1058750.0,2500.0
OLANZAPINE,ELI LILLY,ZYPREXA VELOTAB,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,1998.0,0010MG,TABS DISPERS 10 MG 28,199810,822.5,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,11556951.0,14051.0,11829198.0,14382.0,9073000.0,11031.0,11341453.0,13789.0,3141950.0,3820.0
OLANZAPINE,ELI LILLY,ZYPREXA VELOTAB,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,1998.0,0005MG,TABS DISPERS 5 MG 28,199810,423.5,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,1833335.0,4329.0,1917610.0,4528.0,1892624.0,4469.0,1349276.0,3186.0,462886.0,1093.0
